
week,gun_control
2017-03-19,6
2017-03-26,6
2017-04-02,5
2017-04-09,5
2017-04-16,5
2017-04-23,6
2017-04-30,6
2017-05-07,5
2017-05-14,5
2017-05-21,4
2017-05-28,4
2017-06-04,4
2017-06-11,8
2017-06-18,4
2017-06-25,3
2017-07-02,3
2017-07-09,2
2017-07-16,3
2017-07-23,3
2017-07-30,2
2017-08-06,2
2017-08-13,2
2017-08-20,2
2017-08-27,3
2017-09-03,3
2017-09-10,3
2017-09-17,5
2017-09-24,4
2017-10-01,75
2017-10-08,21
2017-10-15,13
2017-10-22,10
2017-10-29,10
2017-11-05,27
2017-11-12,15
2017-11-19,7
2017-11-26,11
2017-12-03,11
2017-12-10,8
2017-12-17,5
2017-12-24,3
2017-12-31,4
2018-01-07,5
2018-01-14,5
2018-01-21,6
2018-01-28,6
2018-02-04,6
2018-02-11,56
2018-02-18,100
2018-02-25,63
2018-03-04,36
