

week,shooting
2017-03-19,10
2017-03-26,10
2017-04-02,8
2017-04-09,12
2017-04-16,16
2017-04-23,8
2017-04-30,10
2017-05-07,8
2017-05-14,8
2017-05-21,8
2017-05-28,9
2017-06-04,10
2017-06-11,17
2017-06-18,10
2017-06-25,10
2017-07-02,9
2017-07-09,8
2017-07-16,9
2017-07-23,8
2017-07-30,7
2017-08-06,8
2017-08-13,8
2017-08-20,7
2017-08-27,7
2017-09-03,7
2017-09-10,9
2017-09-17,8
2017-09-24,10
2017-10-01,100
2017-10-08,16
2017-10-15,12
2017-10-22,10
2017-10-29,15
2017-11-05,33
2017-11-12,13
2017-11-19,9
2017-11-26,9
2017-12-03,10
2017-12-10,9
2017-12-17,8
2017-12-24,9
2017-12-31,9
2018-01-07,8
2018-01-14,8
2018-01-21,13
2018-01-28,10
2018-02-04,8
2018-02-11,58
2018-02-18,25
2018-02-25,17
2018-03-04,11
